date,market_type,contracts
2025-07-25,Motorsport,1196437
2025-07-25,Other,47267
2025-07-26,Esports,1647
2025-07-26,Futures/Award,7827798
2025-07-26,Moneyline,9449047
2025-07-26,Motorsport,2055327
2025-07-26,Other,36146
2025-07-27,Esports,1109
2025-07-27,Futures/Award,12018589
2025-07-27,Moneyline,9912440
2025-07-27,Motorsport,2753697
2025-07-27,Other,93231
2025-07-28,Esports,996
2025-07-28,Futures/Award,1482695
2025-07-28,Moneyline,9509026
2025-07-28,Motorsport,5588
2025-07-28,Other,75048
2025-07-29,Esports,269
2025-07-29,Futures/Award,1048447
2025-07-29,Moneyline,10141474
2025-07-29,Motorsport,5284
2025-07-29,Other,75053
2025-07-30,Esports,1191
2025-07-30,Futures/Award,1893308
2025-07-30,Moneyline,8521855
2025-07-30,Motorsport,47528
2025-07-30,Other,58532
2025-07-31,Esports,215
2025-07-31,Futures/Award,4879833
2025-07-31,Moneyline,5616848
2025-07-31,Motorsport,1025010
2025-07-31,Other,76893
2025-08-01,Esports,1718
2025-08-01,Futures/Award,4329147
2025-08-01,Moneyline,7464335
2025-08-01,Motorsport,1414271
2025-08-01,Other,71832
2025-08-02,Esports,4605
2025-08-02,Futures/Award,7317985
2025-08-02,Moneyline,6574394
2025-08-02,Motorsport,2531523
2025-08-02,Other,44969
2025-08-03,Esports,1138
2025-08-03,Futures/Award,2966966
2025-08-03,Moneyline,6412834
2025-08-03,Motorsport,3326023
2025-08-03,Other,68094
2025-08-04,Futures/Award,1893057
2025-08-04,Moneyline,4453286
2025-08-04,Motorsport,822
2025-08-04,Other,69701
2025-08-05,Esports,210
2025-08-05,Futures/Award,2850076
2025-08-05,Moneyline,7014447
2025-08-05,Motorsport,639
2025-08-05,Other,38336
2025-08-06,Esports,179
2025-08-06,Futures/Award,2786164
2025-08-06,Moneyline,6847161
2025-08-06,Motorsport,504
2025-08-06,Other,21698
2025-08-07,Esports,4940
2025-08-07,Futures/Award,5625757
2025-08-07,Moneyline,7210461
2025-08-07,Motorsport,597
2025-08-07,Other,22328
2025-08-08,Esports,1159
2025-08-08,Futures/Award,7347432
2025-08-08,Moneyline,8837411
2025-08-08,Motorsport,793
2025-08-08,Other,22717
2025-08-09,Esports,1196
2025-08-09,Futures/Award,10364421
2025-08-09,Moneyline,8614453
2025-08-09,Motorsport,767
2025-08-09,Other,23003
2025-08-10,Esports,381
2025-08-10,Futures/Award,20544072
2025-08-10,Moneyline,9811725
2025-08-10,Motorsport,697
2025-08-10,Other,17987
2025-08-11,Esports,403
2025-08-11,Futures/Award,1788188
2025-08-11,Moneyline,7320820
2025-08-11,Motorsport,9055
2025-08-11,Other,27885
2025-08-12,Esports,223
2025-08-12,Futures/Award,2803308
2025-08-12,Moneyline,7450671
2025-08-12,Motorsport,111
2025-08-12,Other,26665
2025-08-13,Esports,606
2025-08-13,Futures/Award,3285376
2025-08-13,Moneyline,9073381
2025-08-13,Motorsport,313
2025-08-13,Other,94873
2025-08-14,Esports,42
2025-08-14,Futures/Award,7183391
2025-08-14,Moneyline,6244681
2025-08-14,Motorsport,1510
2025-08-14,Other,36522
2025-08-15,Futures/Award,5323925
2025-08-15,Moneyline,11141197
2025-08-15,Motorsport,15774
2025-08-15,Other,53664
2025-08-16,Esports,350
2025-08-16,Futures/Award,5888718
2025-08-16,Moneyline,22191075
2025-08-16,Motorsport,1073
2025-08-16,Other,73848
2025-08-17,Esports,21
2025-08-17,Futures/Award,14037193
2025-08-17,Moneyline,16994470
2025-08-17,Motorsport,548
2025-08-17,Other,32532
2025-08-18,Esports,2202
2025-08-18,Futures/Award,1113777
2025-08-18,Moneyline,8757402
2025-08-18,Motorsport,2463
2025-08-18,Other,61967
2025-08-18,Spread,95
2025-08-19,Esports,1193
2025-08-19,Futures/Award,1394258
2025-08-19,Moneyline,8973752
2025-08-19,Motorsport,46
2025-08-19,Other,25346
2025-08-19,Over/Under,4760
2025-08-19,Spread,26393
2025-08-20,Esports,996
2025-08-20,Futures/Award,3207023
2025-08-20,Moneyline,8066778
2025-08-20,Motorsport,190
2025-08-20,Other,21349
2025-08-20,Over/Under,690
2025-08-20,Spread,4478
2025-08-21,Esports,3876
2025-08-21,Futures/Award,7239143
2025-08-21,Moneyline,8094677
2025-08-21,Motorsport,182
2025-08-21,Other,33467
2025-08-21,Over/Under,22195
2025-08-21,Spread,39111
2025-08-22,Esports,11
2025-08-22,Futures/Award,8672063
2025-08-22,Moneyline,11618315
2025-08-22,Motorsport,84
2025-08-22,Other,34458
2025-08-22,Over/Under,13625
2025-08-22,Spread,17990
2025-08-23,Esports,1232
2025-08-23,Futures/Award,9567089
2025-08-23,Moneyline,27005483
2025-08-23,Motorsport,342
2025-08-23,Other,78650
2025-08-23,Over/Under,96243
2025-08-23,Spread,64671
2025-08-24,Esports,2194
2025-08-24,Futures/Award,15755797
2025-08-24,Moneyline,13607740
2025-08-24,Motorsport,176
2025-08-24,Other,41431
2025-08-24,Over/Under,19898
2025-08-24,Spread,10279
2025-08-25,Esports,172
2025-08-25,Futures/Award,2798646
2025-08-25,Moneyline,14092042
2025-08-25,Motorsport,352
2025-08-25,Other,68425
2025-08-25,Over/Under,5199
2025-08-25,Spread,14592
2025-08-26,Esports,1249
2025-08-26,Futures/Award,2814414
2025-08-26,Moneyline,12422606
2025-08-26,Motorsport,95291
2025-08-26,Other,61475
2025-08-26,Over/Under,6641
2025-08-26,Spread,27471
2025-08-27,Esports,1
2025-08-27,Futures/Award,2437509
2025-08-27,Moneyline,14742861
2025-08-27,Motorsport,49288
2025-08-27,Other,58184
2025-08-27,Over/Under,4703
2025-08-27,Spread,344880
2025-08-28,Esports,106
2025-08-28,Futures/Award,2803611
2025-08-28,Moneyline,27615898
2025-08-28,Motorsport,215928
2025-08-28,Other,85809
2025-08-28,Over/Under,45080
2025-08-28,Spread,115213
2025-08-29,Esports,458
2025-08-29,Futures/Award,2872230
2025-08-29,Moneyline,30789940
2025-08-29,Motorsport,568684
2025-08-29,Other,30234
2025-08-29,Over/Under,81943
2025-08-29,Spread,81263
2025-08-30,Esports,25
2025-08-30,Futures/Award,4304799
2025-08-30,Moneyline,78665764
2025-08-30,Motorsport,926146
2025-08-30,Other,19742
2025-08-30,Over/Under,123585
2025-08-30,Spread,286838
2025-08-31,Esports,112
2025-08-31,Futures/Award,3245135
2025-08-31,Moneyline,51546297
2025-08-31,Motorsport,1100894
2025-08-31,Other,26237
2025-08-31,Over/Under,1234
2025-08-31,Spread,6771
2025-09-01,Esports,280
2025-09-01,Futures/Award,3089476
2025-09-01,Moneyline,31185394
2025-09-01,Motorsport,1215
2025-09-01,Other,108924
2025-09-01,Over/Under,14218
2025-09-01,Spread,369795
2025-09-02,Esports,112
2025-09-02,Futures/Award,3156870
2025-09-02,Moneyline,20439948
2025-09-02,Motorsport,17224
2025-09-02,Other,26158
2025-09-02,Over/Under,73228
2025-09-02,Spread,76195
2025-09-03,Esports,4644
2025-09-03,Futures/Award,4037901
2025-09-03,Moneyline,36012677
2025-09-03,Motorsport,98813
2025-09-03,Other,25808
2025-09-03,Over/Under,15287
2025-09-03,Spread,43588
2025-09-04,Esports,174
2025-09-04,Futures/Award,4100276
2025-09-04,Moneyline,38883790
2025-09-04,Motorsport,82432
2025-09-04,Other,40691
2025-09-04,Over/Under,145128
2025-09-04,Player Prop,410429
2025-09-04,Spread,469370
2025-09-05,Esports,420
2025-09-05,Futures/Award,6238016
2025-09-05,Moneyline,65209422
2025-09-05,Motorsport,191682
2025-09-05,Other,48234
2025-09-05,Over/Under,240181
2025-09-05,Player Prop,418036
2025-09-05,Spread,402415
2025-09-06,Esports,432
2025-09-06,Futures/Award,12518867
2025-09-06,Moneyline,89975721
2025-09-06,Motorsport,545007
2025-09-06,Other,30005
2025-09-06,Over/Under,298751
2025-09-06,Player Prop,55635
2025-09-06,Spread,476218
2025-09-07,Esports,1100
2025-09-07,Futures/Award,21357435
2025-09-07,Moneyline,162809480
2025-09-07,Motorsport,1226192
2025-09-07,Other,44147
2025-09-07,Over/Under,457458
2025-09-07,Player Prop,1203110
2025-09-07,Spread,609129
2025-09-08,Esports,511
2025-09-08,Futures/Award,2301045
2025-09-08,Moneyline,47960144
2025-09-08,Motorsport,1259
2025-09-08,Other,29676
2025-09-08,Over/Under,270631
2025-09-08,Player Prop,1064719
2025-09-08,Spread,206423
2025-09-09,Esports,21
2025-09-09,Futures/Award,1579437
2025-09-09,Moneyline,14640072
2025-09-09,Motorsport,9275
2025-09-09,Other,57325
2025-09-09,Over/Under,16698
2025-09-09,Player Prop,1066
2025-09-09,Spread,37806
2025-09-10,Esports,430
2025-09-10,Futures/Award,1508292
2025-09-10,Moneyline,11571686
2025-09-10,Motorsport,9946
2025-09-10,Other,52044
2025-09-10,Over/Under,17867
2025-09-10,Player Prop,579353
2025-09-10,Spread,98778
2025-09-11,Esports,36
2025-09-11,Futures/Award,1762285
2025-09-11,Moneyline,37366763
2025-09-11,Motorsport,19556
2025-09-11,Other,55406
2025-09-11,Over/Under,282359
2025-09-11,Player Prop,785176
2025-09-11,Spread,456423
2025-09-12,Esports,3235
2025-09-12,Futures/Award,1498926
2025-09-12,Moneyline,42093572
2025-09-12,Motorsport,39797
2025-09-12,Other,66990
2025-09-12,Over/Under,198661
2025-09-12,Player Prop,96883
2025-09-12,Spread,277497
2025-09-13,Esports,121
2025-09-13,Futures/Award,1960614
2025-09-13,Moneyline,149438590
2025-09-13,Motorsport,230415
2025-09-13,Other,77936
2025-09-13,Over/Under,846151
2025-09-13,Player Prop,150682
2025-09-13,Spread,1157450
2025-09-14,Esports,12
2025-09-14,Futures/Award,3452546
2025-09-14,Moneyline,166022281
2025-09-14,Motorsport,3684
2025-09-14,Other,129033
2025-09-14,Over/Under,893812
2025-09-14,Player Prop,2129301
2025-09-14,Spread,1806720
2025-09-15,Esports,231
2025-09-15,Futures/Award,2274142
2025-09-15,Moneyline,63935352
2025-09-15,Motorsport,34298
2025-09-15,Other,27024
2025-09-15,Over/Under,495304
2025-09-15,Player Prop,1333566
2025-09-15,Spread,655974
2025-09-16,Esports,1335
2025-09-16,Futures/Award,1741666
2025-09-16,Moneyline,28140110
2025-09-16,Motorsport,149526
2025-09-16,Other,55720
2025-09-16,Over/Under,70866
2025-09-16,Player Prop,142774
2025-09-16,Spread,131264
2025-09-17,Esports,2531
2025-09-17,Futures/Award,2467323
2025-09-17,Moneyline,25598675
2025-09-17,Motorsport,90168
2025-09-17,Other,59889
2025-09-17,Over/Under,32379
2025-09-17,Parlay (multi-game),229
2025-09-17,Player Prop,136713
2025-09-17,Spread,120572
2025-09-18,Esports,302
2025-09-18,Futures/Award,1730159
2025-09-18,Moneyline,56971074
2025-09-18,Motorsport,142026
2025-09-18,Other,51035
2025-09-18,Over/Under,1318936
2025-09-18,Parlay (multi-game),2114
2025-09-18,Player Prop,1049882
2025-09-18,Spread,1842377
2025-09-19,Esports,139
2025-09-19,Futures/Award,1354171
2025-09-19,Game Prop,163
2025-09-19,Moneyline,53786158
2025-09-19,Motorsport,426790
2025-09-19,Other,57732
2025-09-19,Over/Under,348463
2025-09-19,Parlay (multi-game),60
2025-09-19,Player Prop,9422
2025-09-19,Spread,536672
2025-09-20,Esports,287
2025-09-20,Futures/Award,2287327
2025-09-20,Game Prop,1783
2025-09-20,Moneyline,172294558
2025-09-20,Motorsport,700982
2025-09-20,Other,34429
2025-09-20,Over/Under,1040601
2025-09-20,Parlay (multi-game),28579
2025-09-20,Player Prop,192580
2025-09-20,Spread,2049077
2025-09-21,Esports,88
2025-09-21,Futures/Award,2897121
2025-09-21,Game Prop,255
2025-09-21,Moneyline,192427744
2025-09-21,Motorsport,499198
2025-09-21,Other,73290
2025-09-21,Over/Under,5090404
2025-09-21,Parlay (multi-game),24945
2025-09-21,Player Prop,2472927
2025-09-21,Spread,8086319
2025-09-22,Esports,91
2025-09-22,Futures/Award,4149211
2025-09-22,Game Prop,1871
2025-09-22,Moneyline,53172346
2025-09-22,Motorsport,14031
2025-09-22,Other,92674
2025-09-22,Over/Under,2159605
2025-09-22,Player Prop,1372506
2025-09-22,Spread,2763462
2025-09-23,Esports,44
2025-09-23,Futures/Award,2688139
2025-09-23,Game Prop,37580
2025-09-23,Moneyline,18420255
2025-09-23,Motorsport,26258
2025-09-23,Other,487581
2025-09-23,Over/Under,16665
2025-09-23,Parlay (multi-game),146
2025-09-23,Player Prop,5613
2025-09-23,Spread,115219
2025-09-24,Esports,474
2025-09-24,Futures/Award,1983586
2025-09-24,Game Prop,86185
2025-09-24,Moneyline,20367891
2025-09-24,Motorsport,23215
2025-09-24,Other,560948
2025-09-24,Over/Under,55059
2025-09-24,Parlay (multi-game),4286
2025-09-24,Player Prop,86350
2025-09-24,Spread,282750
2025-09-25,Esports,1918
2025-09-25,Futures/Award,2632443
2025-09-25,Game Prop,236903
2025-09-25,Moneyline,50784900
2025-09-25,Motorsport,38900
2025-09-25,Other,1158099
2025-09-25,Over/Under,1658063
2025-09-25,Parlay (multi-game),21799
2025-09-25,Player Prop,996774
2025-09-25,Spread,1255742
2025-09-26,Esports,6229
2025-09-26,Futures/Award,5426029
2025-09-26,Game Prop,1553021
2025-09-26,Moneyline,77435807
2025-09-26,Motorsport,23685
2025-09-26,Other,10373482
2025-09-26,Over/Under,358345
2025-09-26,Parlay (multi-game),20182
2025-09-26,Spread,859730
2025-09-27,Esports,7892
2025-09-27,Futures/Award,5627363
2025-09-27,Game Prop,649008
2025-09-27,Moneyline,237680292
2025-09-27,Motorsport,91991
2025-09-27,Other,8928515
2025-09-27,Over/Under,1113363
2025-09-27,Parlay (multi-game),32354
2025-09-27,Player Prop,109072
2025-09-27,Spread,2017857
2025-09-28,Esports,7674
2025-09-28,Futures/Award,7772894
2025-09-28,Moneyline,237153502
2025-09-28,Motorsport,80658
2025-09-28,Other,6377143
2025-09-28,Over/Under,5829837
2025-09-28,Parlay (multi-game),110681
2025-09-28,Parlay (single-game),31
2025-09-28,Player Prop,2703261
2025-09-28,Spread,9563867
2025-09-29,Esports,6689
2025-09-29,Futures/Award,2726925
2025-09-29,Mention,392512
2025-09-29,Moneyline,67280715
2025-09-29,Motorsport,65877
2025-09-29,Other,47003
2025-09-29,Over/Under,3741141
2025-09-29,Parlay (multi-game),29341
2025-09-29,Parlay (single-game),255757
2025-09-29,Player Prop,1404740
2025-09-29,Spread,4068966
2025-09-30,Esports,2972
2025-09-30,Futures/Award,3520788
2025-09-30,Mention,43624
2025-09-30,Moneyline,48344568
2025-09-30,Motorsport,87511
2025-09-30,Other,20083
2025-09-30,Over/Under,212020
2025-09-30,Player Prop,68906
2025-09-30,Spread,99237
2025-10-01,Esports,2868
2025-10-01,Futures/Award,3867401
2025-10-01,Moneyline,58519205
2025-10-01,Motorsport,108236
2025-10-01,Other,20939
2025-10-01,Over/Under,231662
2025-10-01,Parlay (single-game),39769
2025-10-01,Player Prop,90755
2025-10-01,Spread,454624
2025-10-02,Esports,5378
2025-10-02,Futures/Award,31899212
2025-10-02,Moneyline,70942317
2025-10-02,Motorsport,128066
2025-10-02,Other,28347
2025-10-02,Over/Under,2335055
2025-10-02,Parlay (single-game),649761
2025-10-02,Player Prop,983922
2025-10-02,Spread,3574912
2025-10-03,Esports,16587
2025-10-03,Futures/Award,3653331
2025-10-03,Moneyline,40657769
2025-10-03,Motorsport,268736
2025-10-03,Other,105181
2025-10-03,Over/Under,597000
2025-10-03,Parlay (multi-game),238344
2025-10-03,Parlay (single-game),63581
2025-10-03,Player Prop,85898
2025-10-03,Spread,620457
2025-10-04,Esports,960
2025-10-04,Futures/Award,3906515
2025-10-04,Moneyline,224220951
2025-10-04,Motorsport,505581
2025-10-04,Other,54100
2025-10-04,Over/Under,2176296
2025-10-04,Parlay (multi-game),712653
2025-10-04,Parlay (single-game),153224
2025-10-04,Player Prop,144387
2025-10-04,Spread,2569178
2025-10-05,Esports,1690
2025-10-05,Futures/Award,4304600
2025-10-05,Moneyline,253134424
2025-10-05,Motorsport,736412
2025-10-05,Other,45045
2025-10-05,Over/Under,10687707
2025-10-05,Parlay (multi-game),1994695
2025-10-05,Parlay (single-game),1877859
2025-10-05,Player Prop,1988741
2025-10-05,Spread,15764745
2025-10-06,Esports,1370
2025-10-06,Futures/Award,3565068
2025-10-06,Mention,175128
2025-10-06,Moneyline,82035004
2025-10-06,Motorsport,25071
2025-10-06,Other,38829
2025-10-06,Over/Under,2812010
2025-10-06,Parlay (multi-game),471761
2025-10-06,Parlay (single-game),258567
2025-10-06,Player Prop,1051657
2025-10-06,Spread,5019491
2025-10-07,Esports,952
2025-10-07,Futures/Award,4145260
2025-10-07,Mention,24768
2025-10-07,Moneyline,49511162
2025-10-07,Motorsport,20952
2025-10-07,Other,97370
2025-10-07,Over/Under,550792
2025-10-07,Player Prop,2626
2025-10-07,Spread,336903
2025-10-08,Esports,1185
2025-10-08,Futures/Award,3825916
2025-10-08,Moneyline,72226284
2025-10-08,Motorsport,28363
2025-10-08,Other,71882
2025-10-08,Over/Under,1136921
2025-10-08,Player Prop,102779
2025-10-08,Spread,1118312
2025-10-09,Esports,3653
2025-10-09,Futures/Award,3654953
2025-10-09,Mention,3907
2025-10-09,Moneyline,83244715
2025-10-09,Motorsport,32459
2025-10-09,Other,98972
2025-10-09,Over/Under,2650475
2025-10-09,Parlay (multi-game),298628
2025-10-09,Parlay (single-game),1256129
2025-10-09,Player Prop,1125357
2025-10-09,Spread,4748231
2025-10-10,Esports,1668
2025-10-10,Futures/Award,21959179
2025-10-10,Mention,15639
2025-10-10,Moneyline,42596352
2025-10-10,Motorsport,27693
2025-10-10,Other,37886
2025-10-10,Over/Under,1111793
2025-10-10,Parlay (multi-game),482411
2025-10-10,Parlay (single-game),40539
2025-10-10,Player Prop,33551
2025-10-10,Spread,838161
2025-10-11,Esports,646
2025-10-11,Futures/Award,16586552
2025-10-11,Mention,22763
2025-10-11,Moneyline,187991298
2025-10-11,Motorsport,63935
2025-10-11,Other,52872
2025-10-11,Over/Under,3093534
2025-10-11,Parlay (multi-game),1025930
2025-10-11,Parlay (single-game),347309
2025-10-11,Player Prop,190880
2025-10-11,Spread,4912862
2025-10-12,Esports,1766
2025-10-12,Futures/Award,3231301
2025-10-12,Mention,35308
2025-10-12,Moneyline,178756813
2025-10-12,Motorsport,213607
2025-10-12,Other,31933
2025-10-12,Over/Under,8137115
2025-10-12,Parlay (multi-game),2310221
2025-10-12,Parlay (single-game),3597408
2025-10-12,Player Prop,2599029
2025-10-12,Spread,15599808
2025-10-13,Esports,6028
2025-10-13,Futures/Award,3577563
2025-10-13,Mention,329300
2025-10-13,Moneyline,96705801
2025-10-13,Motorsport,96467
2025-10-13,Other,54280
2025-10-13,Over/Under,3609536
2025-10-13,Parlay (multi-game),1012801
2025-10-13,Parlay (single-game),1368971
2025-10-13,Player Prop,1194280
2025-10-13,Spread,6201108
2025-10-14,Esports,119401
2025-10-14,Futures/Award,3284089
2025-10-14,Mention,18120
2025-10-14,Moneyline,40441564
2025-10-14,Motorsport,91681
2025-10-14,Other,74781
2025-10-14,Over/Under,686085
2025-10-14,Parlay (multi-game),387838
2025-10-14,Parlay (single-game),19610
2025-10-14,Player Prop,36385
2025-10-14,Spread,993270
2025-10-15,Esports,332517
2025-10-15,Futures/Award,2715842
2025-10-15,Moneyline,46290067
2025-10-15,Motorsport,104758
2025-10-15,Other,68527
2025-10-15,Over/Under,1102319
2025-10-15,Parlay (multi-game),443828
2025-10-15,Parlay (single-game),245275
2025-10-15,Player Prop,72218
2025-10-15,Spread,811772
2025-10-16,Esports,158315
2025-10-16,Futures/Award,2959384
2025-10-16,Game Prop,836
2025-10-16,Mention,2763
2025-10-16,Moneyline,80774792
2025-10-16,Motorsport,81534
2025-10-16,Other,115819
2025-10-16,Over/Under,2773220
2025-10-16,Parlay (multi-game),1199943
2025-10-16,Parlay (single-game),1782892
2025-10-16,Player Prop,1235152
2025-10-16,Spread,4430644
2025-10-17,Esports,110045
2025-10-17,Futures/Award,3664879
2025-10-17,Game Prop,31124
2025-10-17,Mention,5237
2025-10-17,Moneyline,84295358
2025-10-17,Motorsport,457738
2025-10-17,Other,75926
2025-10-17,Over/Under,1439954
2025-10-17,Parlay (multi-game),1337700
2025-10-17,Parlay (single-game),66867
2025-10-17,Player Prop,5611
2025-10-17,Spread,2171952
2025-10-18,Esports,104491
2025-10-18,Futures/Award,2711889
2025-10-18,Game Prop,4473
2025-10-18,Mention,11628
2025-10-18,Moneyline,207663578
2025-10-18,Motorsport,485226
2025-10-18,Other,183992
2025-10-18,Over/Under,2863785
2025-10-18,Parlay (multi-game),1981391
2025-10-18,Parlay (single-game),365043
2025-10-18,Player Prop,346470
2025-10-18,Spread,5302309
2025-10-19,Esports,101674
2025-10-19,Futures/Award,3526742
2025-10-19,Game Prop,34766
2025-10-19,Mention,23532
2025-10-19,Moneyline,201513431
2025-10-19,Motorsport,919691
2025-10-19,Other,121029
2025-10-19,Over/Under,9325946
2025-10-19,Parlay (multi-game),5811522
2025-10-19,Parlay (single-game),3504950
2025-10-19,Player Prop,2345198
2025-10-19,Spread,14978520
2025-10-20,Esports,14968
2025-10-20,Futures/Award,18356930
2025-10-20,Game Prop,78250
2025-10-20,Mention,327204
2025-10-20,Moneyline,70262664
2025-10-20,Motorsport,81572
2025-10-20,Other,103049
2025-10-20,Over/Under,4435314
2025-10-20,Parlay (multi-game),2491289
2025-10-20,Parlay (single-game),3569598
2025-10-20,Player Prop,1215484
2025-10-20,Spread,6644015
2025-10-21,Esports,26018
2025-10-21,Futures/Award,3370778
2025-10-21,Game Prop,818
2025-10-21,Mention,11375
2025-10-21,Moneyline,71695595
2025-10-21,Motorsport,106398
2025-10-21,Other,184410
2025-10-21,Over/Under,1827663
2025-10-21,Parlay (multi-game),577756
2025-10-21,Parlay (single-game),112733
2025-10-21,Player Prop,60390
2025-10-21,Spread,1919292
2025-10-22,Esports,109531
2025-10-22,Futures/Award,2542476
2025-10-22,Game Prop,456
2025-10-22,Mention,2064
2025-10-22,Moneyline,85797179
2025-10-22,Motorsport,121855
2025-10-22,Other,155546
2025-10-22,Over/Under,1637690
2025-10-22,Parlay (multi-game),1116335
2025-10-22,Parlay (single-game),201391
2025-10-22,Player Prop,37715
2025-10-22,Spread,2696374
2025-10-23,Esports,92543
2025-10-23,Futures/Award,3608706
2025-10-23,Game Prop,2625
2025-10-23,Mention,7959
2025-10-23,Moneyline,78700918
2025-10-23,Motorsport,91182
2025-10-23,Other,120027
2025-10-23,Over/Under,3042730
2025-10-23,Parlay (multi-game),1737187
2025-10-23,Parlay (single-game),2406372
2025-10-23,Player Prop,925829
2025-10-23,Spread,4223913
2025-10-24,Esports,128738
2025-10-24,Futures/Award,3524187
2025-10-24,Game Prop,78138
2025-10-24,Mention,81027
2025-10-24,Moneyline,116473960
2025-10-24,Motorsport,217283
2025-10-24,Other,215358
2025-10-24,Over/Under,2403366
2025-10-24,Parlay (multi-game),1175952
2025-10-24,Parlay (single-game),30909
2025-10-24,Player Prop,10299
2025-10-24,Spread,3099147
2025-10-25,Esports,283617
2025-10-25,Futures/Award,3608667
2025-10-25,Game Prop,46309
2025-10-25,Mention,62865
2025-10-25,Moneyline,224755978
2025-10-25,Motorsport,649941
2025-10-25,Other,104029
2025-10-25,Over/Under,3714823
2025-10-25,Parlay (multi-game),3695880
2025-10-25,Parlay (single-game),458514
2025-10-25,Player Prop,143828
2025-10-25,Spread,7602727
2025-10-26,Esports,2430
2025-10-26,Futures/Award,2721286
2025-10-26,Game Prop,2968
2025-10-26,Mention,14960
2025-10-26,Moneyline,187077232
2025-10-26,Motorsport,1163415
2025-10-26,Other,73068
2025-10-26,Over/Under,9850567
2025-10-26,Parlay (multi-game),9069686
2025-10-26,Parlay (single-game),3687258
2025-10-26,Player Prop,2461059
2025-10-26,Spread,16435850
2025-10-27,Esports,118775
2025-10-27,Futures/Award,2596825
2025-10-27,Game Prop,30366
2025-10-27,Mention,236222
2025-10-27,Moneyline,85216674
2025-10-27,Motorsport,61968
2025-10-27,Other,52570
2025-10-27,Over/Under,3695152
2025-10-27,Parlay (multi-game),1595492
2025-10-27,Parlay (single-game),2631068
2025-10-27,Player Prop,1141233
2025-10-27,Spread,7203829
2025-10-28,Esports,290885
2025-10-28,Futures/Award,3773463
2025-10-28,Game Prop,136561
2025-10-28,Mention,141739
2025-10-28,Moneyline,100996506
2025-10-28,Motorsport,48613
2025-10-28,Other,87735
2025-10-28,Over/Under,2207449
2025-10-28,Parlay (multi-game),1027892
2025-10-28,Parlay (single-game),6416
2025-10-28,Player Prop,589
2025-10-28,Spread,1303901
2025-10-29,Esports,466665
2025-10-29,Futures/Award,3889717
2025-10-29,Game Prop,204201
2025-10-29,Mention,31459
2025-10-29,Moneyline,103075438
2025-10-29,Motorsport,118872
2025-10-29,Other,267494
2025-10-29,Over/Under,1708285
2025-10-29,Parlay (multi-game),1758549
2025-10-29,Parlay (single-game),345845
2025-10-29,Player Prop,53337
2025-10-29,Spread,1841980
2025-10-30,Esports,618739
2025-10-30,Futures/Award,3146986
2025-10-30,Game Prop,4681
2025-10-30,Mention,1295
2025-10-30,Moneyline,83414544
2025-10-30,Motorsport,44047
2025-10-30,Other,195464
2025-10-30,Over/Under,3484927
2025-10-30,Parlay (multi-game),2824112
2025-10-30,Parlay (single-game),2579952
2025-10-30,Player Prop,1097889
2025-10-30,Spread,5637386
2025-10-31,Esports,1133012
2025-10-31,Futures/Award,4284722
2025-10-31,Game Prop,173117
2025-10-31,Mention,52932
2025-10-31,Moneyline,97428355
2025-10-31,Motorsport,77885
2025-10-31,Other,153195
2025-10-31,Over/Under,1770686
2025-10-31,Parlay (multi-game),1378463
2025-10-31,Parlay (single-game),32928
2025-10-31,Player Prop,3448
2025-10-31,Spread,1907561
2025-11-01,Esports,1249647
2025-11-01,Futures/Award,40039611
2025-11-01,Game Prop,109629
2025-11-01,Mention,23556
2025-11-01,Moneyline,231055578
2025-11-01,Motorsport,89336
2025-11-01,Other,169767
2025-11-01,Over/Under,3446623
2025-11-01,Parlay (multi-game),3183565
2025-11-01,Parlay (single-game),340743
2025-11-01,Player Prop,48397
2025-11-01,Spread,6527322
2025-11-02,Esports,1033800
2025-11-02,Futures/Award,10454671
2025-11-02,Mention,5901
2025-11-02,Moneyline,231747070
2025-11-02,Motorsport,581423
2025-11-02,Other,196674
2025-11-02,Over/Under,11404001
2025-11-02,Parlay (multi-game),12921963
2025-11-02,Parlay (single-game),3804379
2025-11-02,Player Prop,3659181
2025-11-02,Spread,19455315
2025-11-03,Esports,206664
2025-11-03,Futures/Award,2871501
2025-11-03,Mention,173208
2025-11-03,Moneyline,98619569
2025-11-03,Motorsport,98416
2025-11-03,Other,166855
2025-11-03,Over/Under,5938551
2025-11-03,Parlay (multi-game),1834650
2025-11-03,Parlay (single-game),2549859
2025-11-03,Player Prop,849234
2025-11-03,Spread,8133345
2025-11-04,Esports,444619
2025-11-04,Futures/Award,2504633
2025-11-04,Game Prop,3440
2025-11-04,Mention,7553
2025-11-04,Moneyline,84597334
2025-11-04,Motorsport,48626
2025-11-04,Other,384665
2025-11-04,Over/Under,1336978
2025-11-04,Parlay (multi-game),791104
2025-11-04,Parlay (single-game),9781
2025-11-04,Player Prop,1878
2025-11-04,Spread,1150748
2025-11-05,Esports,198415
2025-11-05,Futures/Award,2186637
2025-11-05,Game Prop,4443
2025-11-05,Mention,3908
2025-11-05,Moneyline,96565870
2025-11-05,Motorsport,54997
2025-11-05,Other,224825
2025-11-05,Over/Under,1982758
2025-11-05,Parlay (multi-game),1515117
2025-11-05,Parlay (single-game),303514
2025-11-05,Player Prop,69661
2025-11-05,Spread,2053691
2025-11-06,Esports,23067
2025-11-06,Futures/Award,2857759
2025-11-06,Game Prop,5237
